"future","playerID","firstName","lastName","name","team","logo","mgm_odds","mgm_winPct"
"Hart Trophy","4075","Nathan","MacKinnon","Nathan MacKinnon","COL","https://content.rotowire.com/images/teamlogo/hockey/100COL.png?v=5","-150","50.2"
"Hart Trophy","3828","Nikita","Kucherov","Nikita Kucherov","TBL","https://content.rotowire.com/images/teamlogo/hockey/100TBL.png?v=5","280","22.0"
"Hart Trophy","7127","Macklin","Celebrini","Macklin Celebrini","SJS","https://content.rotowire.com/images/teamlogo/hockey/100SJS.png?v=5","475","14.5"
"Hart Trophy","4712","Connor","McDavid","Connor McDavid","EDM","https://content.rotowire.com/images/teamlogo/hockey/100EDM.png?v=5","650","11.1"
"Hart Trophy","6916","Connor","Bedard","Connor Bedard","CHI","https://content.rotowire.com/images/teamlogo/hockey/100CHI.png?v=5",NA,NA
"Hart Trophy","6355","Logan","Thompson","Logan Thompson","WSH","https://content.rotowire.com/images/teamlogo/hockey/100WSH.png?v=5",NA,NA
"Hart Trophy","4900","Sebastian","Aho","Sebastian Aho","CAR","https://content.rotowire.com/images/teamlogo/hockey/100CAR.png?v=5",NA,NA
"Hart Trophy","4778","Mathew","Barzal","Mathew Barzal","NYI","https://content.rotowire.com/images/teamlogo/hockey/100NYI.png?v=5",NA,NA
"Hart Trophy","3851","Jordan","Binnington","Jordan Binnington","STL","https://content.rotowire.com/images/teamlogo/hockey/100STL.png?v=5",NA,NA
"Hart Trophy","4804","Mackenzie","Blackwood","Mackenzie Blackwood","COL","https://content.rotowire.com/images/teamlogo/hockey/100COL.png?v=5",NA,NA
