"future","playerID","firstName","lastName","name","team","logo","mgm_odds","mgm_winPct"
"Hart Trophy","4075","Nathan","MacKinnon","Nathan MacKinnon","COL","https://content.rotowire.com/images/teamlogo/hockey/100COL.png?v=5","-175","51.2"
"Hart Trophy","7127","Macklin","Celebrini","Macklin Celebrini","SJS","https://content.rotowire.com/images/teamlogo/hockey/100SJS.png?v=5","240","23.7"
"Hart Trophy","3828","Nikita","Kucherov","Nikita Kucherov","TBL","https://content.rotowire.com/images/teamlogo/hockey/100TBL.png?v=5","600","11.5"
"Hart Trophy","4712","Connor","McDavid","Connor McDavid","EDM","https://content.rotowire.com/images/teamlogo/hockey/100EDM.png?v=5","650","10.7"
"Hart Trophy","6916","Connor","Bedard","Connor Bedard","CHI","https://content.rotowire.com/images/teamlogo/hockey/100CHI.png?v=5",NA,NA
"Hart Trophy","6355","Logan","Thompson","Logan Thompson","WSH","https://content.rotowire.com/images/teamlogo/hockey/100WSH.png?v=5",NA,NA
"Hart Trophy","4386","Leon","Draisaitl","Leon Draisaitl","EDM","https://content.rotowire.com/images/teamlogo/hockey/100EDM.png?v=5","25000","0.3"
"Hart Trophy","5278","Kirill","Kaprizov","Kirill Kaprizov","MIN","https://content.rotowire.com/images/teamlogo/hockey/100MIN.png?v=5","25000","0.3"
"Hart Trophy","4478","Ilya","Sorokin","Ilya Sorokin","NYI","https://content.rotowire.com/images/teamlogo/hockey/100NYI.png?v=5","25000","0.3"
"Hart Trophy","4883","Mikko","Rantanen","Mikko Rantanen","DAL","https://content.rotowire.com/images/teamlogo/hockey/100DAL.png?v=5","30000","0.3"
